OpnameDatum;Gas
2022-12-31;3583
2022-12-30;3581
2022-12-29;3580
2022-12-28;3579
2022-12-27;3577
2022-12-26;3577
2022-12-25;3575
2022-12-24;3572
2022-12-23;3567
2022-12-22;3565
2022-12-21;3564
2022-12-20;3562
2022-12-19;3560
2022-12-18;3558
2022-12-17;3557
2022-12-16;3553
2022-12-15;3547
2022-12-14;3544
2022-12-13;3539
2022-12-12;3535
2022-12-11;3533
2022-12-10;3532
2022-12-09;3528
2022-12-08;3525
2022-12-07;3523
2022-12-06;3521
2022-12-05;3517
2022-12-04;3516
2022-12-03;3515
2022-12-02;3512
2022-12-01;3510
2022-11-30;3507
2022-11-29;3506
2022-11-28;3505
2022-11-27;3504
2022-11-26;3503
2022-11-25;3502
2022-11-24;3501
2022-11-23;3499
2022-11-22;3497
2022-11-21;3494
2022-11-20;3490
2022-11-19;3489
2022-11-18;3487
2022-11-17;3485
2022-11-16;3484
2022-11-15;3484
2022-11-14;3482
2022-11-13;3482
2022-11-12;3481
2022-11-11;3481
2022-11-10;3480
2022-11-09;3479
2022-11-08;3479
2022-11-07;3479
2022-11-06;3478
2022-11-05;3477
2022-11-04;3477
2022-11-03;3477
2022-11-02;3476
2022-11-01;3476
2022-10-31;3476
2022-10-30;3475
2022-10-29;3474
2022-10-28;3474
2022-10-27;3474
2022-10-26;3474
2022-10-25;3474
2022-10-24;3473
2022-10-23;3473
2022-10-22;3472
2022-10-21;3472
2022-10-20;3471
2022-10-19;3471
2022-10-18;3471
2022-10-17;3470
2022-10-16;3470
2022-10-15;3469
2022-10-14;3468
2022-10-13;3467
2022-10-12;3467
2022-10-11;3466
2022-10-10;3466
2022-10-09;3466
2022-10-08;3465
2022-10-07;3465
2022-10-06;3464
2022-10-05;3464
2022-10-04;3464
2022-10-03;3464
2022-10-02;3463
2022-10-01;3462
2022-09-30;3462
2022-09-29;3462
2022-09-28;3461
2022-09-27;3461
2022-09-26;3461
2022-09-25;3460
2022-09-24;3459
2022-09-23;3459
2022-09-22;3458
2022-09-21;3458
2022-09-20;3457
2022-09-19;3457
2022-09-18;3456
2022-09-17;3456
2022-09-16;3456
2022-09-15;3455
2022-09-14;3455
2022-09-13;3454
2022-09-12;3454
2022-09-11;3454
2022-09-10;3453
2022-09-09;3453
2022-09-08;3453
2022-09-07;3452
2022-09-06;3452
2022-09-05;3451
2022-09-04;3451
2022-09-03;3451
2022-09-02;3451
2022-09-01;3450
2022-08-31;3450
2022-08-30;3449
2022-08-29;3449
2022-08-28;3448
2022-08-27;3448
2022-08-26;3448
2022-08-25;3447
2022-08-24;3447
2022-08-23;3447
2022-08-22;3446
2022-08-21;3446
2022-08-20;3445
2022-08-19;3445
2022-08-18;3445
2022-08-17;3444
2022-08-16;3444
2022-08-15;3443
2022-08-14;3443
2022-08-13;3443
2022-08-12;3443
2022-08-11;3442
2022-08-10;3442
2022-08-09;3442
2022-08-08;3442
2022-08-07;3442
2022-08-06;3442
2022-08-05;3441
2022-08-04;3441
2022-08-03;3441
2022-08-02;3441
2022-08-01;3441
